;OBJECTID_1;LAN_ew_AGS;LAN_ew_GEN;LAN_ew_BEZ;LAN_ew_EWZ;OBJECTID;Fallzahl;Aktualisierung;AGS_TXT;GlobalID;faelle_100000_EW;Shape__Area;Shape__Length;Death;cases7_bl_per_100k;cases7_bl;death7_bl;cases7_bl_per_100k_txt;AdmUnitId
0;1;01;Schleswig-Holstein;Land;2910875;15;741958;1654120800000;01;fc5ba936-c95c-432c-8a33-9eb2f30b660f;25489.1742173745;45737314116.8701;2881496.1295035;2546;369.545239833383;10757;1;369,5;1
1;2;02;Hamburg;Freie und Hansestadt;1852478;6;585743;1654120800000;02;0f3e860c-5181-4d3f-a421-1d51f50315ea;31619.430838045;2089396054.82129;418800.187474072;2656;244.051481313138;4521;3;244,1;2
2;3;03;Niedersachsen;Land;8003421;9;2378317;1654120800000;03;3fd77024-c29b-4843-9be8-682ad48e60c9;29716.2550864187;129983613598.973;4008988.2951652;9352;286.789861485482;22953;5;286,8;3
3;4;04;Bremen;Freie Hansestadt;680130;5;201365;1654120800000;04;4132268b-54de-4327-ac1e-760e915112f1;29606.8398688486;1119156745.43408;335717.737774516;775;241.424433564172;1642;0;241,4;4
4;5;05;Nordrhein-Westfalen;Land;17925570;10;5300983;1654120800000;05;561d658f-3ee5-46e3-bc95-3528c6558ab9;29572.1865469271;87829361998.0295;2648672.50917441;25451;238.675813377204;42784;4;238,7;5
5;6;06;Hessen;Land;6293154;7;1867905;1654120800000;06;93277ac4-e8fc-48c7-8940-028dc2ed66af;29681.5396540431;52359125900.6655;2148243.6201819;10156;309.479157827697;19476;2;309,5;6
6;7;07;Rheinland-Pfalz;Land;4098391;11;1155606;1654120800000;07;e9b4296f-9be2-4e53-9a58-ccf1396cb03d;28196.5776325392;47838767393.1633;1774430.12830596;5684;204.299687365115;8373;0;204,3;7
7;8;08;Baden-Württemberg;Land;11103043;1;3680508;1654120800000;08;80394ddf-c6a4-4a6e-be8e-0259a81b22a9;33148.6422235778;81517323536.8628;2544320.39805124;16130;178.482601571479;19817;2;178,5;8
8;9;09;Bayern;Freistaat;13140183;2;4908082;1654120800000;09;1ff920f4-62cd-4a4f-b8c9-f042f2a3e00a;37351.7020272853;163485540875.077;3898617.90542911;24089;223.87816060096;29418;5;223,9;9
9;10;10;Saarland;Land;983991;12;316233;1654120800000;10;e3396a6f-8a30-4fdf-8df7-def77dd38bea;32137.7939432373;6060691818.01318;562678.876124348;1688;216.160513663235;2127;0;216,2;10
10;11;11;Berlin;Land;3664088;3;1052549;1654120800000;11;c7033073-2bb0-486b-97af-5b3c639e7219;28726.0840896834;2402458320.59863;363979.182407356;4616;189.651558587021;6949;2;189,7;11
11;12;12;Brandenburg;Land;2531071;4;791669;1654120800000;12;b560af89-5895-4be4-96f8-0f581cd8a858;31278.0242039832;79801970800.2686;2571385.42188057;5673;130.932715834522;3314;0;130,9;12
12;13;13;Mecklenburg-Vorpommern;Land;1610774;8;488587;1654120800000;13;a27f5628-e790-45be-898d-f0a6841c0f7e;30332.4364560143;65873523064.0757;4131181.10875485;2229;189.225800764105;3048;1;189,2;13
13;14;14;Sachsen;Freistaat;4056941;13;1511268;1654120800000;14;256d2405-a7c8-4fec-93df-29f3c808cd25;37251.4167694329;46626497892.9951;2048279.98573376;15528;116.910746298751;4743;0;116,9;14
14;15;15;Sachsen-Anhalt;Land;2180684;14;717948;1654120800000;15;66106bbe-f04b-4f92-80e1-5b5b30da25b5;32923.0645063659;54177007537.6553;1920386.52842308;5358;114.184356834828;2490;2;114,2;15
15;16;16;Thüringen;Freistaat;2120237;16;710734;1654120800000;16;3a3e2817-bb19-4f8c-8bca-d8ff591140d4;33521.4412351072;40685205073.9761;2015719.49965031;7291;80.6985256836854;1711;0;80,7;16
